archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Fe_3d_altura_c001_s005_ed0.78_te20000._ep 5.0.dat,Fe,9.373311082002987,18.246073550218963,-0.4084188905156391,-1.0783506324489325,15.6544,30.0,0.0,1,0.0004,84.64,0.78,20000.0,0.0,crecimiento,70.28,38.32,0.0,0.0
Cr_3d_altura_c001_s005_ed0.21_te20000._ep 5.0.dat,Cr,9.607264951066979,18.27811806505254,-0.36543750357524624,-1.11409727324796,15.5496,30.0,0.0,1,0.0004,83.08,0.21,20000.0,0.0,crecimiento,69.96,37.08,0.0,0.0
Cr_3d_altura_c002_s006_ed0.13_te20000._ep 5.0.dat,Cr,9.700668933635452,18.144145061148514,-0.30118504166188964,-1.1914228045881963,15.3332,30.0,0.0,1,0.0004,83.12,0.13,20000.0,0.0,crecimiento,67.67999999999999,37.2,0.0,0.0
Cr_3d_altura_c002_s001_ed0.13_te20000._ep 5.0.dat,Cr,2.6191423329021277,3.1056078310050674,1.3381999062254653,0.7207857739372265,1.6688,12.0,0.0,90,0.036,32.92,0.13,20000.0,0.0,coalescencia,0.36,0.0,0.0,0.0
Fe_3d_altura_c002_s002_ed0.88_te20000._ep 5.0.dat,Fe,4.676125165134056,6.331571684818865,0.6791873523077899,-0.7176244564056802,4.2688,19.0,0.0,7,0.0028,53.959999999999994,0.88,20000.0,0.0,coalescencia,12.44,0.0,0.0,0.0
Cr_3d_altura_c002_s003_ed0.13_te20000._ep 5.0.dat,Cr,6.750627573788973,10.213422540950706,0.3653365392466992,-0.9669630931482014,7.6644,28.0,0.0,3,0.0012,68.16,0.13,20000.0,0.0,crecimiento,36.8,3.1199999999999997,0.0,0.0
Cr_3d_altura_c001_s004_ed0.21_te20000._ep 5.0.dat,Cr,8.472328076744903,14.466817203517849,-0.03111982058281648,-1.1687955595325008,11.7264,30.0,0.0,1,0.0004,77.28,0.21,20000.0,0.0,crecimiento,57.48,16.48,0.0,0.0
Cr_3d_altura_c001_s003_ed0.21_te20000._ep 5.0.dat,Cr,6.791605595144642,10.365982828463492,0.2922746233512898,-1.0815876118687333,7.8312,27.0,0.0,3,0.0012,68.36,0.21,20000.0,0.0,crecimiento,38.36,2.44,0.0,0.0
Fe_3d_altura_c002_s004_ed0.88_te20000._ep 5.0.dat,Fe,8.384959448918044,14.293103231978701,-0.014781042195582591,-1.1689793712060357,11.5752,30.0,0.0,2,0.0008,77.4,0.88,20000.0,0.0,crecimiento,57.08,16.16,0.0,0.0
Fe_3d_altura_c002_s006_ed0.88_te20000._ep 5.0.dat,Fe,9.616927442795854,18.005065953780896,-0.28703048574727685,-1.1598392896623202,15.2216,30.0,0.0,1,0.0004,82.92,0.88,20000.0,0.0,crecimiento,68.52000000000001,35.92,0.0,0.0
Fe_3d_altura_c001_s004_ed0.78_te20000._ep 5.0.dat,Fe,8.170238860645386,14.289702586128236,-0.12934218134983333,-1.2248216331003485,11.7236,30.0,0.0,1,0.0004,78.56,0.78,20000.0,0.0,crecimiento,58.36,15.28,0.0,0.0
